country,iso2c,iso3c,year,rd_expenditure_pct,region_category
"Egypt, Arab Rep.",EG,EGY,2008,0.27024,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2007,0.2551,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2006,0.25903,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2005,0.24141,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2004,0.26994,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2000,0.19247,3. Emerging Economies
France,FR,FRA,2022,2.23312,1. The West (OECD)
France,FR,FRA,2021,2.21808,1. The West (OECD)
France,FR,FRA,2020,2.27464,1. The West (OECD)
France,FR,FRA,2019,2.19179,1. The West (OECD)
France,FR,FRA,2018,2.19666,1. The West (OECD)
France,FR,FRA,2017,2.19888,1. The West (OECD)
France,FR,FRA,2016,2.22238,1. The West (OECD)
France,FR,FRA,2015,2.22702,1. The West (OECD)
France,FR,FRA,2014,2.27592,1. The West (OECD)
France,FR,FRA,2013,2.23703,1. The West (OECD)
France,FR,FRA,2012,2.22707,1. The West (OECD)
France,FR,FRA,2011,2.19161,1. The West (OECD)
France,FR,FRA,2010,2.17857,1. The West (OECD)
France,FR,FRA,2009,2.21207,1. The West (OECD)
France,FR,FRA,2008,2.06117,1. The West (OECD)
France,FR,FRA,2007,2.02451,1. The West (OECD)
France,FR,FRA,2006,2.05094,1. The West (OECD)
France,FR,FRA,2005,2.05151,1. The West (OECD)
France,FR,FRA,2004,2.09461,1. The West (OECD)
France,FR,FRA,2003,2.11994,1. The West (OECD)
France,FR,FRA,2002,2.17449,1. The West (OECD)
France,FR,FRA,2001,2.13804,1. The West (OECD)
France,FR,FRA,2000,2.09346,1. The West (OECD)
Germany,DE,DEU,2022,3.13236,1. The West (OECD)
Germany,DE,DEU,2021,3.12882,1. The West (OECD)
Germany,DE,DEU,2020,3.13136,1. The West (OECD)
Germany,DE,DEU,2019,3.16701,1. The West (OECD)
Germany,DE,DEU,2018,3.11011,1. The West (OECD)
Germany,DE,DEU,2017,3.0471,1. The West (OECD)
Germany,DE,DEU,2016,2.94039,1. The West (OECD)
Germany,DE,DEU,2015,2.93379,1. The West (OECD)
Germany,DE,DEU,2014,2.87784,1. The West (OECD)
Germany,DE,DEU,2013,2.83599,1. The West (OECD)
Germany,DE,DEU,2012,2.88166,1. The West (OECD)
Germany,DE,DEU,2011,2.80555,1. The West (OECD)
Germany,DE,DEU,2010,2.7302399999999998,1. The West (OECD)
Germany,DE,DEU,2009,2.74266,1. The West (OECD)
Germany,DE,DEU,2008,2.61513,1. The West (OECD)
Germany,DE,DEU,2007,2.46048,1. The West (OECD)
Germany,DE,DEU,2006,2.47232,1. The West (OECD)
Germany,DE,DEU,2005,2.44193,1. The West (OECD)
Germany,DE,DEU,2004,2.43519,1. The West (OECD)
Germany,DE,DEU,2003,2.47461,1. The West (OECD)
Germany,DE,DEU,2002,2.43622,1. The West (OECD)
Germany,DE,DEU,2001,2.40437,1. The West (OECD)
Germany,DE,DEU,2000,2.40982,1. The West (OECD)
Indonesia,ID,IDN,2020,0.28068,3. Emerging Economies
Indonesia,ID,IDN,2019,0.27129,3. Emerging Economies
Indonesia,ID,IDN,2018,0.22632,3. Emerging Economies
Indonesia,ID,IDN,2017,0.23805,3. Emerging Economies
Indonesia,ID,IDN,2016,0.24535,3. Emerging Economies
Indonesia,ID,IDN,2013,0.0847,3. Emerging Economies
Indonesia,ID,IDN,2009,0.08332,3. Emerging Economies
Indonesia,ID,IDN,2001,0.04756,3. Emerging Economies
Indonesia,ID,IDN,2000,0.06769,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2021,0.72665,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2019,0.78829,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2017,0.75983,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2015,0.39383,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2013,0.23601,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2012,0.29435,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2010,0.26442,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2009,0.27258,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2008,0.64647,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2006,0.55921,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2005,0.62284,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2004,0.50453,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2003,0.59484,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2002,0.49558,3. Emerging Economies
"Iran, Islamic Rep.",IR,IRN,2001,0.50218,3. Emerging Economies
Iraq,IQ,IRQ,2021,0.0407,4. Fragile States
Iraq,IQ,IRQ,2020,0.04053,4. Fragile States
Iraq,IQ,IRQ,2019,0.03266,4. Fragile States
Iraq,IQ,IRQ,2018,0.04279,4. Fragile States
Iraq,IQ,IRQ,2017,0.04596,4. Fragile States
Iraq,IQ,IRQ,2016,0.03737,4. Fragile States
Iraq,IQ,IRQ,2015,0.04017,4. Fragile States
Iraq,IQ,IRQ,2014,0.03835,4. Fragile States
Iraq,IQ,IRQ,2011,0.03476,4. Fragile States
Iraq,IQ,IRQ,2010,0.03684,4. Fragile States
Iraq,IQ,IRQ,2009,0.04562,4. Fragile States
Iraq,IQ,IRQ,2008,0.03435,4. Fragile States
Iraq,IQ,IRQ,2007,0.04554,4. Fragile States
Italy,IT,ITA,2022,1.39014,1. The West (OECD)
Italy,IT,ITA,2021,1.42658,1. The West (OECD)
Italy,IT,ITA,2020,1.5066,1. The West (OECD)
Italy,IT,ITA,2019,1.46159,1. The West (OECD)
Italy,IT,ITA,2018,1.42443,1. The West (OECD)
Italy,IT,ITA,2017,1.37013,1. The West (OECD)
Italy,IT,ITA,2016,1.36642,1. The West (OECD)
Italy,IT,ITA,2015,1.3385,1. The West (OECD)
Italy,IT,ITA,2014,1.3384,1. The West (OECD)
Italy,IT,ITA,2013,1.30107,1. The West (OECD)
Italy,IT,ITA,2012,1.26219,1. The West (OECD)
Italy,IT,ITA,2011,1.20155,1. The West (OECD)
Italy,IT,ITA,2010,1.21797,1. The West (OECD)
Italy,IT,ITA,2009,1.21787,1. The West (OECD)
Italy,IT,ITA,2008,1.15972,1. The West (OECD)
Italy,IT,ITA,2007,1.12899,1. The West (OECD)
Italy,IT,ITA,2006,1.08401,1. The West (OECD)
Italy,IT,ITA,2005,1.04435,1. The West (OECD)
Italy,IT,ITA,2004,1.05025,1. The West (OECD)
Italy,IT,ITA,2003,1.05894,1. The West (OECD)
Italy,IT,ITA,2002,1.08124,1. The West (OECD)
Italy,IT,ITA,2001,1.0407,1. The West (OECD)
Italy,IT,ITA,2000,1.00364,1. The West (OECD)
Japan,JP,JPN,2022,3.40537,1. The West (OECD)
Japan,JP,JPN,2021,3.27677,1. The West (OECD)
Japan,JP,JPN,2020,3.26458,1. The West (OECD)
Japan,JP,JPN,2019,3.21824,1. The West (OECD)
Japan,JP,JPN,2018,3.2192,1. The West (OECD)
Japan,JP,JPN,2017,3.16636,1. The West (OECD)
Japan,JP,JPN,2016,3.10666,1. The West (OECD)
Japan,JP,JPN,2015,3.24071,1. The West (OECD)
Japan,JP,JPN,2014,3.36788,1. The West (OECD)
Japan,JP,JPN,2013,3.27896,1. The West (OECD)
Japan,JP,JPN,2012,3.17371,1. The West (OECD)
Japan,JP,JPN,2011,3.20537,1. The West (OECD)
Japan,JP,JPN,2010,3.10495,1. The West (OECD)
Japan,JP,JPN,2009,3.1959,1. The West (OECD)
Japan,JP,JPN,2008,3.29224,1. The West (OECD)
Japan,JP,JPN,2007,3.29257,1. The West (OECD)
Japan,JP,JPN,2006,3.22766,1. The West (OECD)
Japan,JP,JPN,2005,3.13092,1. The West (OECD)
Japan,JP,JPN,2004,2.98125,1. The West (OECD)
Japan,JP,JPN,2003,2.9932,1. The West (OECD)
Japan,JP,JPN,2002,2.96514,1. The West (OECD)
Japan,JP,JPN,2001,2.92348,1. The West (OECD)
Japan,JP,JPN,2000,2.85841,1. The West (OECD)
Jordan,JO,JOR,2016,0.69547,3. Emerging Economies
Jordan,JO,JOR,2008,0.42154,3. Emerging Economies
Jordan,JO,JOR,2002,0.33689,3. Emerging Economies
"Korea, Rep.",KR,KOR,2022,5.21081,1. The West (OECD)
"Korea, Rep.",KR,KOR,2021,4.90988,1. The West (OECD)
"Korea, Rep.",KR,KOR,2020,4.79571,1. The West (OECD)
"Korea, Rep.",KR,KOR,2019,4.62703,1. The West (OECD)
"Korea, Rep.",KR,KOR,2018,4.51633,1. The West (OECD)
"Korea, Rep.",KR,KOR,2017,4.29206,1. The West (OECD)
"Korea, Rep.",KR,KOR,2016,3.98704,1. The West (OECD)
"Korea, Rep.",KR,KOR,2015,3.9782,1. The West (OECD)
"Korea, Rep.",KR,KOR,2014,4.07786,1. The West (OECD)
"Korea, Rep.",KR,KOR,2013,3.95124,1. The West (OECD)
"Korea, Rep.",KR,KOR,2012,3.8504,1. The West (OECD)
"Korea, Rep.",KR,KOR,2011,3.59199,1. The West (OECD)
"Korea, Rep.",KR,KOR,2010,3.31578,1. The West (OECD)
"Korea, Rep.",KR,KOR,2009,3.14669,1. The West (OECD)
"Korea, Rep.",KR,KOR,2008,2.98887,1. The West (OECD)
"Korea, Rep.",KR,KOR,2007,2.87258,1. The West (OECD)
"Korea, Rep.",KR,KOR,2006,2.71934,1. The West (OECD)
"Korea, Rep.",KR,KOR,2005,2.5229,1. The West (OECD)
"Korea, Rep.",KR,KOR,2004,2.44214,1. The West (OECD)
"Korea, Rep.",KR,KOR,2003,2.27722,1. The West (OECD)
"Korea, Rep.",KR,KOR,2002,2.20774,1. The West (OECD)
"Korea, Rep.",KR,KOR,2001,2.27865,1. The West (OECD)
"Korea, Rep.",KR,KOR,2000,2.12519,1. The West (OECD)
Kuwait,KW,KWT,2023,0.0976,2. Rentier States (Gulf)
Kuwait,KW,KWT,2022,0.08041,2. Rentier States (Gulf)
Kuwait,KW,KWT,2020,0.1839,2. Rentier States (Gulf)
Kuwait,KW,KWT,2019,0.18801,2. Rentier States (Gulf)
Kuwait,KW,KWT,2018,0.06349,2. Rentier States (Gulf)
Kuwait,KW,KWT,2017,0.0804,2. Rentier States (Gulf)
Kuwait,KW,KWT,2016,0.07985,2. Rentier States (Gulf)
Kuwait,KW,KWT,2015,0.0966,2. Rentier States (Gulf)
Kuwait,KW,KWT,2014,0.42705,2. Rentier States (Gulf)
Kuwait,KW,KWT,2013,0.30153,2. Rentier States (Gulf)
Kuwait,KW,KWT,2012,0.09721,2. Rentier States (Gulf)
Kuwait,KW,KWT,2011,0.09898,2. Rentier States (Gulf)
Kuwait,KW,KWT,2010,0.1014,2. Rentier States (Gulf)
Kuwait,KW,KWT,2009,0.11213,2. Rentier States (Gulf)
Kuwait,KW,KWT,2008,0.08551,2. Rentier States (Gulf)
Kuwait,KW,KWT,2007,0.08585,2. Rentier States (Gulf)
Kuwait,KW,KWT,2006,0.08479,2. Rentier States (Gulf)
Kuwait,KW,KWT,2005,0.10083,2. Rentier States (Gulf)
Kuwait,KW,KWT,2004,0.1301,2. Rentier States (Gulf)
Kuwait,KW,KWT,2003,0.14347,2. Rentier States (Gulf)
Kuwait,KW,KWT,2002,0.18001,2. Rentier States (Gulf)
Kuwait,KW,KWT,2001,0.17884,2. Rentier States (Gulf)
Kuwait,KW,KWT,2000,0.12542,2. Rentier States (Gulf)
Malaysia,MY,MYS,2020,0.95055,3. Emerging Economies
Malaysia,MY,MYS,2018,1.04026,3. Emerging Economies
Malaysia,MY,MYS,2016,1.41517,3. Emerging Economies
Malaysia,MY,MYS,2015,1.27945,3. Emerging Economies
Malaysia,MY,MYS,2014,1.26275,3. Emerging Economies
Malaysia,MY,MYS,2012,1.09269,3. Emerging Economies
Malaysia,MY,MYS,2011,1.03342,3. Emerging Economies
Malaysia,MY,MYS,2010,1.03608,3. Emerging Economies
Malaysia,MY,MYS,2009,1.01001,3. Emerging Economies
Malaysia,MY,MYS,2008,0.78847,3. Emerging Economies
Malaysia,MY,MYS,2006,0.61106,3. Emerging Economies
Malaysia,MY,MYS,2004,0.5999,3. Emerging Economies
Malaysia,MY,MYS,2002,0.65254,3. Emerging Economies
Malaysia,MY,MYS,2000,0.46899,3. Emerging Economies
Morocco,MA,MAR,2010,0.66036,3. Emerging Economies
Morocco,MA,MAR,2006,0.54987,3. Emerging Economies
Morocco,MA,MAR,2003,0.56588,3. Emerging Economies
Morocco,MA,MAR,2002,0.47179,3. Emerging Economies
Morocco,MA,MAR,2001,0.5463,3. Emerging Economies
Netherlands,NL,NLD,2022,2.25533,1. The West (OECD)
Netherlands,NL,NLD,2021,2.26877,1. The West (OECD)
Netherlands,NL,NLD,2020,2.32182,1. The West (OECD)
Netherlands,NL,NLD,2019,2.18435,1. The West (OECD)
Netherlands,NL,NLD,2018,2.1388,1. The West (OECD)
Netherlands,NL,NLD,2017,2.17857,1. The West (OECD)
Netherlands,NL,NLD,2016,2.15081,1. The West (OECD)
Netherlands,NL,NLD,2015,2.14606,1. The West (OECD)
Netherlands,NL,NLD,2014,2.1733,1. The West (OECD)
Netherlands,NL,NLD,2013,2.15606,1. The West (OECD)
Netherlands,NL,NLD,2012,1.91627,1. The West (OECD)
Netherlands,NL,NLD,2011,1.88131,1. The West (OECD)
Netherlands,NL,NLD,2010,1.70404,1. The West (OECD)
Netherlands,NL,NLD,2009,1.6657,1. The West (OECD)
Netherlands,NL,NLD,2008,1.62269,1. The West (OECD)
Netherlands,NL,NLD,2007,1.6703,1. The West (OECD)
Netherlands,NL,NLD,2006,1.74067,1. The West (OECD)
Netherlands,NL,NLD,2005,1.77388,1. The West (OECD)
Netherlands,NL,NLD,2004,1.78901,1. The West (OECD)
Netherlands,NL,NLD,2003,1.7839,1. The West (OECD)
Netherlands,NL,NLD,2002,1.74543,1. The West (OECD)
Netherlands,NL,NLD,2001,1.79609,1. The West (OECD)
Netherlands,NL,NLD,2000,1.7898,1. The West (OECD)
Oman,OM,OMN,2023,0.36729,2. Rentier States (Gulf)
Oman,OM,OMN,2022,0.27506,2. Rentier States (Gulf)
Oman,OM,OMN,2021,0.28978,2. Rentier States (Gulf)
Oman,OM,OMN,2020,0.31599,2. Rentier States (Gulf)
Oman,OM,OMN,2019,0.27255,2. Rentier States (Gulf)
Oman,OM,OMN,2018,0.19031,2. Rentier States (Gulf)
Oman,OM,OMN,2017,0.19925,2. Rentier States (Gulf)
Oman,OM,OMN,2016,0.22691,2. Rentier States (Gulf)
Oman,OM,OMN,2015,0.21866,2. Rentier States (Gulf)
Oman,OM,OMN,2014,0.18588,2. Rentier States (Gulf)
Oman,OM,OMN,2013,0.14854,2. Rentier States (Gulf)
Oman,OM,OMN,2012,0.18281,2. Rentier States (Gulf)
Oman,OM,OMN,2011,0.11962,2. Rentier States (Gulf)
Pakistan,PK,PAK,2023,0.16375,3. Emerging Economies
Pakistan,PK,PAK,2021,0.16431,3. Emerging Economies
Pakistan,PK,PAK,2019,0.17475,3. Emerging Economies
Pakistan,PK,PAK,2017,0.21214,3. Emerging Economies
Pakistan,PK,PAK,2015,0.22193,3. Emerging Economies
Pakistan,PK,PAK,2013,0.26179,3. Emerging Economies
Pakistan,PK,PAK,2011,0.30491,3. Emerging Economies
Pakistan,PK,PAK,2009,0.40218,3. Emerging Economies
Pakistan,PK,PAK,2007,0.52343,3. Emerging Economies
Pakistan,PK,PAK,2005,0.32946,3. Emerging Economies
Pakistan,PK,PAK,2002,0.16228,3. Emerging Economies
Pakistan,PK,PAK,2001,0.12408,3. Emerging Economies
Pakistan,PK,PAK,2000,0.09536,3. Emerging Economies
Qatar,QA,QAT,2021,0.68058,2. Rentier States (Gulf)
Qatar,QA,QAT,2018,0.53129,2. Rentier States (Gulf)
Qatar,QA,QAT,2015,0.51883,2. Rentier States (Gulf)
Qatar,QA,QAT,2012,0.4786,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2023,0.56486,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2022,0.46317,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2021,0.44266,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2020,0.49802,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2013,0.80736,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2012,0.8699,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2011,0.89068,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2010,0.884,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2009,0.07338,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2008,0.04902,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2007,0.04521,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2006,0.04245,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2005,0.0423,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2004,0.05315,2. Rentier States (Gulf)
Saudi Arabia,SA,SAU,2003,0.062330000000000003,2. Rentier States (Gulf)
Spain,ES,ESP,2022,1.43532,1. The West (OECD)
Spain,ES,ESP,2021,1.41122,1. The West (OECD)
Spain,ES,ESP,2020,1.4091,1. The West (OECD)
Spain,ES,ESP,2019,1.25025,1. The West (OECD)
Spain,ES,ESP,2018,1.24151,1. The West (OECD)
Spain,ES,ESP,2017,1.20977,1. The West (OECD)
Spain,ES,ESP,2016,1.18986,1. The West (OECD)
Spain,ES,ESP,2015,1.22179,1. The West (OECD)
Spain,ES,ESP,2014,1.24159,1. The West (OECD)
Spain,ES,ESP,2013,1.27482,1. The West (OECD)
Spain,ES,ESP,2012,1.29876,1. The West (OECD)
Spain,ES,ESP,2011,1.33341,1. The West (OECD)
Spain,ES,ESP,2010,1.35996,1. The West (OECD)
Spain,ES,ESP,2009,1.36364,1. The West (OECD)
Spain,ES,ESP,2008,1.325,1. The West (OECD)
Spain,ES,ESP,2007,1.24053,1. The West (OECD)
Spain,ES,ESP,2006,1.17702,1. The West (OECD)
Spain,ES,ESP,2005,1.09956,1. The West (OECD)
Spain,ES,ESP,2004,1.04089,1. The West (OECD)
Spain,ES,ESP,2003,1.02373,1. The West (OECD)
Spain,ES,ESP,2002,0.95971,1. The West (OECD)
Spain,ES,ESP,2001,0.88833,1. The West (OECD)
Spain,ES,ESP,2000,0.88276,1. The West (OECD)
Sudan,SD,SDN,2005,0.225,4. Fragile States
Sudan,SD,SDN,2004,0.23825,4. Fragile States
Sudan,SD,SDN,2003,0.2808,4. Fragile States
Sudan,SD,SDN,2002,0.32247,4. Fragile States
Sudan,SD,SDN,2001,0.37483,4. Fragile States
Sudan,SD,SDN,2000,0.47277,4. Fragile States
Sweden,SE,SWE,2022,3.40822,1. The West (OECD)
Sweden,SE,SWE,2021,3.40216,1. The West (OECD)
Sweden,SE,SWE,2020,3.4896,1. The West (OECD)
Sweden,SE,SWE,2019,3.38758,1. The West (OECD)
Sweden,SE,SWE,2018,3.32106,1. The West (OECD)
Sweden,SE,SWE,2017,3.36279,1. The West (OECD)
Sweden,SE,SWE,2016,3.24736,1. The West (OECD)
Sweden,SE,SWE,2015,3.21903,1. The West (OECD)
Sweden,SE,SWE,2014,3.10184,1. The West (OECD)
Sweden,SE,SWE,2013,3.26042,1. The West (OECD)
Sweden,SE,SWE,2012,3.23025,1. The West (OECD)
Sweden,SE,SWE,2011,3.18702,1. The West (OECD)
Sweden,SE,SWE,2010,3.16789,1. The West (OECD)
Sweden,SE,SWE,2009,3.39528,1. The West (OECD)
Sweden,SE,SWE,2008,3.46999,1. The West (OECD)
Sweden,SE,SWE,2007,3.23383,1. The West (OECD)
Sweden,SE,SWE,2006,3.475,1. The West (OECD)
Sweden,SE,SWE,2005,3.35958,1. The West (OECD)
Sweden,SE,SWE,2004,3.36129,1. The West (OECD)
Sweden,SE,SWE,2003,3.57948,1. The West (OECD)
Sweden,SE,SWE,2001,3.8738,1. The West (OECD)
Switzerland,CH,CHE,2021,3.30645,1. The West (OECD)
Switzerland,CH,CHE,2019,3.1968,1. The West (OECD)
Switzerland,CH,CHE,2017,3.07698,1. The West (OECD)
Switzerland,CH,CHE,2015,3.07832,1. The West (OECD)
Switzerland,CH,CHE,2012,2.87457,1. The West (OECD)
Switzerland,CH,CHE,2008,2.65296,1. The West (OECD)
Switzerland,CH,CHE,2004,2.60818,1. The West (OECD)
Switzerland,CH,CHE,2000,2.26386,1. The West (OECD)
Syrian Arab Republic,SY,SYR,2022,0.07306,4. Fragile States
Syrian Arab Republic,SY,SYR,2015,0.01942,4. Fragile States
Tunisia,TN,TUN,2019,0.74658,3. Emerging Economies
Tunisia,TN,TUN,2018,0.71645,3. Emerging Economies
Tunisia,TN,TUN,2017,0.69954,3. Emerging Economies
Tunisia,TN,TUN,2016,0.56539,3. Emerging Economies
Tunisia,TN,TUN,2015,0.59413,3. Emerging Economies
Tunisia,TN,TUN,2014,0.61988,3. Emerging Economies
Tunisia,TN,TUN,2013,0.637,3. Emerging Economies
Tunisia,TN,TUN,2012,0.64937,3. Emerging Economies
Tunisia,TN,TUN,2011,0.67458,3. Emerging Economies
Tunisia,TN,TUN,2010,0.65806,3. Emerging Economies
Tunisia,TN,TUN,2009,0.70644,3. Emerging Economies
Tunisia,TN,TUN,2008,0.63933,3. Emerging Economies
Tunisia,TN,TUN,2007,0.6654,3. Emerging Economies
Tunisia,TN,TUN,2006,0.67729,3. Emerging Economies
Tunisia,TN,TUN,2005,0.71195,3. Emerging Economies
Tunisia,TN,TUN,2004,0.73095,3. Emerging Economies
Tunisia,TN,TUN,2003,0.65044,3. Emerging Economies
Tunisia,TN,TUN,2002,0.54302,3. Emerging Economies
Turkiye,TR,TUR,2022,1.32343,3. Emerging Economies
Turkiye,TR,TUR,2021,1.40209,3. Emerging Economies
Turkiye,TR,TUR,2020,1.36748,3. Emerging Economies
Turkiye,TR,TUR,2019,1.3196,3. Emerging Economies
Turkiye,TR,TUR,2018,1.27093,3. Emerging Economies
Turkiye,TR,TUR,2017,1.17632,3. Emerging Economies
Turkiye,TR,TUR,2016,1.11979,3. Emerging Economies
Turkiye,TR,TUR,2015,0.96732,3. Emerging Economies
Turkiye,TR,TUR,2014,0.8564,3. Emerging Economies
Turkiye,TR,TUR,2013,0.81206,3. Emerging Economies
Turkiye,TR,TUR,2012,0.82595,3. Emerging Economies
Turkiye,TR,TUR,2011,0.79393,3. Emerging Economies
Turkiye,TR,TUR,2010,0.79369,3. Emerging Economies
Turkiye,TR,TUR,2009,0.80362,3. Emerging Economies
Turkiye,TR,TUR,2008,0.68741,3. Emerging Economies
Turkiye,TR,TUR,2007,0.68616,3. Emerging Economies
Turkiye,TR,TUR,2006,0.55292,3. Emerging Economies
Turkiye,TR,TUR,2005,0.56381,3. Emerging Economies
Turkiye,TR,TUR,2004,0.49713,3. Emerging Economies
Turkiye,TR,TUR,2003,0.46532,3. Emerging Economies
Turkiye,TR,TUR,2002,0.50904,3. Emerging Economies
Turkiye,TR,TUR,2001,0.52247,3. Emerging Economies
Turkiye,TR,TUR,2000,0.46558,3. Emerging Economies
United Arab Emirates,AE,ARE,2021,1.49469,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2020,1.48831,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2019,1.31065,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2018,1.26389,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2016,0.9318,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2015,0.8657,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2014,0.67523,2. Rentier States (Gulf)
United Arab Emirates,AE,ARE,2011,0.47252,2. Rentier States (Gulf)
United Kingdom,GB,GBR,2021,2.89711,1. The West (OECD)
United Kingdom,GB,GBR,2020,2.93883,1. The West (OECD)
